stage,epoch,phase,loss,accuracy,precision,recall,f1,auc_roc
stage1,1,train,0.48516599304040275,0.7668316666666667,0.766149436943302,0.7681133333333333,0.7671301282189993,0.15278254128333335
stage1,1,val,0.42060861992835996,0.80955,0.8465241240344789,0.7562,0.7988168805788834,0.107595445
stage1,2,train,0.48157721374988555,0.7693533333333333,0.7690430370306247,0.76993,0.7694862629217152,0.14983800998333335
stage1,2,val,0.4096773679256439,0.8154,0.8120300751879699,0.8208,0.8163914859757311,0.104276315
stage1,3,train,0.4814892476439476,0.7689433333333333,0.7690688988194491,0.76871,0.7688894075284233,0.14968215612222224
stage1,3,val,0.4264427437543869,0.80825,0.773829617127121,0.8711,0.8195888413228584,0.10645139
stage2,1,train,0.06350618726876467,0.9756966666666667,0.9751454978891153,0.9762766666666667,0.9757107544290978,0.0025184328277777787
stage2,1,val,0.015096137509061554,0.9948,0.9910678840809846,0.9986,0.9948196851962542,8.51599999999992e-05
stage2,2,train,0.02224427359468888,0.991925,0.9916939038651834,0.99216,0.9919268971791629,0.00033486085000001046
stage2,2,val,0.004923362864689352,0.99825,0.9974044124987521,0.9991,0.9982514862366988,2.070999999999904e-05
stage2,3,train,0.01622023040269453,0.994215,0.9941046499615086,0.9943266666666667,0.994215645919539,0.00018253829999999898
stage2,3,val,0.007745450410621243,0.9973,0.9951214655515731,0.9995,0.9973059269606865,2.1359999999999413e-05
stage2,4,train,0.013554972024996326,0.9951766666666667,0.9951139522327171,0.99524,0.9951769721250987,0.0001334754611111154
stage2,4,val,0.005834141219290359,0.998,0.9983987189751802,0.9976,0.9979991996798719,2.0319999999999694e-05
stage2,5,train,0.011970598224293586,0.9956616666666667,0.9955972390255934,0.9957266666666666,0.995661948640005,9.86887999999993e-05
stage2,5,val,0.006136948296214769,0.9977,0.9977995599119824,0.9976,0.9976997699769977,2.5479999999999383e-05
stage2,6,train,0.004768656125371481,0.9983,0.9982867123543372,0.9983133333333334,0.9983000226663644,1.6409083333335544e-05
stage2,6,val,0.003666558304208431,0.99875,0.9987998799879988,0.9987,0.9987499374968748,8.009999999999629e-06
stage2,7,train,0.003997682362355386,0.9986433333333333,0.9986533063994614,0.9986333333333334,0.998643319766531,1.3378750000002068e-05
stage2,7,val,0.0056265174020354945,0.9982,0.9989983974358975,0.9974,0.9981985588470776,2.3819999999998027e-05
stage2,8,train,0.003978300126919403,0.9985833333333334,0.9985833333333334,0.9985833333333334,0.9985833333333334,1.1798061111111103e-05
stage2,8,val,0.003817357089742798,0.9988,0.9987002599480104,0.9989,0.9988001199880012,1.0099999999999754e-05
stage2,9,train,0.00372376698917533,0.9986866666666666,0.9987498416466085,0.9986233333333333,0.9986865834836206,9.864744444445786e-06
stage2,9,val,0.004530959814993804,0.99885,0.9983018679452602,0.9994,0.9988506321523162,1.0509999999999498e-05
stage2,10,train,0.001618638880935907,0.9994483333333334,0.999453327866612,0.9994433333333334,0.9994483305749862,2.05112222222291e-06
stage2,10,val,0.0026411176948511117,0.9993,0.9996997598078463,0.9989,0.9992997198879552,2.7299999999998993e-06
